topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0608H,APW19990104.0114,243,President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,XIE20000113.0202,285,"The new system, unveiled at the Detroit auto show Wednesday, includes an airbag-like curtain on each side of the vehicle and is a response to the federal government's revelation that almost half the people who die in light trucks and SUVs die in rollover accidents.","285, 334;410, 483","243, 354","The new system, unveiled at the Detroit auto show...is a response to the federal government's revelation that almost half the",President Jac Nasser announced the system Monday at the North American International Auto Show's media preview.,0,0.5176849
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","397, 422","397, 422",the driver has buckled up,the driver has buckled up,0,0.70269096
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,"16, 114","432, 494;502, 528",Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until,a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,0,0.6291267
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","432, 494;502, 528","432, 494;502, 528",a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,0,0.741968
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","473, 528","432, 494;502, 528",an intermittent chime sounds until the belt is latched.,a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,0,0.7269376
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",NYT19981105.0062,5493,"When a sensor detects a loss of air, it triggers a warning light on the instrument panel indicating which tire is low.","5493, 5528;5530, 5581","432, 494;502, 528",When a sensor detects a loss of air...it triggers a warning light on the instrument panel,a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,0,0.57653993
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",NYT19981105.0076,5493,"When a sensor detects a loss of air, it triggers a warning light on the instrument panel indicating which tire is low.","5493, 5528;5530, 5581","432, 494;502, 528",When a sensor detects a loss of air...it triggers a warning light on the instrument panel,a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,0,0.57653993
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,0,DETROIT (AP) -- Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until they buckle their seat belts.,"16, 114","473, 528",Ford Motor Co. will install a device that warns unbuckled drivers with an intermittent chime until,an intermittent chime sounds until the belt is latched.,0,0.61809814
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","432, 494;502, 528","473, 528",a red light on the dashboard goes on and an intermittent chime...until the belt is latched.,an intermittent chime sounds until the belt is latched.,0,0.68795466
D0608H,APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.",APW19990104.0114,355,"A sensor in the belt buckle determines if the driver has buckled up; if not, a red light on the dashboard goes on and an intermittent chime sounds until the belt is latched.","473, 528","473, 528",an intermittent chime sounds until the belt is latched.,an intermittent chime sounds until the belt is latched.,0,0.7302224
D0608H,APW19990104.0114,529,"On most cars and trucks, a chime and light go on only when the ignition is turned on.",APW19990104.0114,529,"On most cars and trucks, a chime and light go on only when the ignition is turned on.","529, 552;554, 614","529, 552;554, 614",On most cars and trucks...a chime and light go on only when the ignition is turned on.,On most cars and trucks...a chime and light go on only when the ignition is turned on.,0,0.7309313
D0608H,APW19990104.0114,529,"On most cars and trucks, a chime and light go on only when the ignition is turned on.",NYT19981105.0062,2485,"Many trucks, which tend to have only one seat, are now equipped with key-operated shut offs for the front passenger side air bag to prevent such injuries.","2485, 2496;2532, 2539;2549, 2613","529, 552;554, 614",Many trucks...are now...with key-operated shut offs for the front passenger side air bag,On most cars and trucks...a chime and light go on only when the ignition is turned on.,0,0.51853156
D0608H,APW19990104.0114,529,"On most cars and trucks, a chime and light go on only when the ignition is turned on.",NYT19981105.0076,2485,"Many trucks, which tend to have only one seat, are now equipped with key-operated shut offs for the front passenger side air bag to prevent such injuries.","2485, 2496;2532, 2539;2549, 2613","529, 552;554, 614",Many trucks...are now...with key-operated shut offs for the front passenger side air bag,On most cars and trucks...a chime and light go on only when the ignition is turned on.,0,0.51853156
D0608H,APW19990104.0114,615,"``We think it will improve safety belt usage tremendously,'' Nasser said.",APW19990104.0114,615,"``We think it will improve safety belt usage tremendously,'' Nasser said.","615, 672","615, 672",``We think it will improve safety belt usage tremendously,``We think it will improve safety belt usage tremendously,0,0.70838416
D0608H,APW19990104.0114,615,"``We think it will improve safety belt usage tremendously,'' Nasser said.",APW19990104.0114,615,"``We think it will improve safety belt usage tremendously,'' Nasser said.","676, 688","676, 688",Nasser said.,Nasser said.,0,0.5507875
D0608H,APW19990104.0114,689,"Drivers who don't want to wear their belts can disable the intermittent chime by buckling, then unbuckling their belt.",APW19990104.0114,689,"Drivers who don't want to wear their belts can disable the intermittent chime by buckling, then unbuckling their belt.","689, 778","689, 778",Drivers who don't want to wear their belts can disable the intermittent chime by buckling,Drivers who don't want to wear their belts can disable the intermittent chime by buckling,0,0.7151613
D0608H,APW19990104.0114,689,"Drivers who don't want to wear their belts can disable the intermittent chime by buckling, then unbuckling their belt.",APW19990104.0114,689,"Drivers who don't want to wear their belts can disable the intermittent chime by buckling, then unbuckling their belt.","689, 778","689, 706;780, 807",Drivers who don't want to wear their belts can disable the intermittent chime by buckling,Drivers who don't...then unbuckling their belt.,0,0.508855
D0608H,APW19990104.0114,689,"Drivers who don't want to wear their belts can disable the intermittent chime by buckling, then unbuckling their belt.",APW19990104.0114,689,"Drivers who don't want to wear their belts can disable the intermittent chime by buckling, then unbuckling their belt.","689, 706;780, 807","689, 706;780, 807",Drivers who don't...then unbuckling their belt.,Drivers who don't...then unbuckling their belt.,0,0.67929226
D0608H,APW19990104.0114,808,"Nasser said seat belts are ``the most effective safety device there is,'' but that many who occasionally fail to buckle up say they simply forget or are too hurried.",APW19990104.0114,808,"Nasser said seat belts are ``the most effective safety device there is,'' but that many who occasionally fail to buckle up say they simply forget or are too hurried.","808, 895","808, 895","Nasser said seat belts are ``the most effective safety device there is,'' but that many","Nasser said seat belts are ``the most effective safety device there is,'' but that many",0,0.72235787
D0608H,APW19990104.0114,808,"Nasser said seat belts are ``the most effective safety device there is,'' but that many who occasionally fail to buckle up say they simply forget or are too hurried.",APW19990104.0114,808,"Nasser said seat belts are ``the most effective safety device there is,'' but that many who occasionally fail to buckle up say they simply forget or are too hurried.","891, 934;957, 973","891, 934;957, 973",many who occasionally fail to buckle up say...are too hurried.,many who occasionally fail to buckle up say...are too hurried.,0,0.71568024
D0608H,APW19990104.0114,808,"Nasser said seat belts are ``the most effective safety device there is,'' but that many who occasionally fail to buckle up say they simply forget or are too hurried.",APW19990104.0114,808,"Nasser said seat belts are ``the most effective safety device there is,'' but that many who occasionally fail to buckle up say they simply forget or are too hurried.","891, 953","891, 953",many who occasionally fail to buckle up say they simply forget,many who occasionally fail to buckle up say they simply forget,0,0.7142612
D0608H,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,"974, 1059","974, 1059",Ford said the system eventually will be expanded to include the front passenger seat.,Ford said the system eventually will be expanded to include the front passenger seat.,0,0.75218093
D0608H,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,"984, 1059","974, 1059",the system eventually will be expanded to include the front passenger seat.,Ford said the system eventually will be expanded to include the front passenger seat.,0,0.74907464
D0608H,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,"974, 1059","984, 1059",Ford said the system eventually will be expanded to include the front passenger seat.,the system eventually will be expanded to include the front passenger seat.,0,0.7537043
D0608H,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,APW19990104.0114,974,Ford said the system eventually will be expanded to include the front passenger seat.,"984, 1059","984, 1059",the system eventually will be expanded to include the front passenger seat.,the system eventually will be expanded to include the front passenger seat.,0,0.7522125
D0608H,APW19990104.0114,1068,2 automaker said major insurance companies are considering discounts for those who own or lease vehicles equipped with the Belt-Minder.,APW19990104.0114,1068,2 automaker said major insurance companies are considering discounts for those who own or lease vehicles equipped with the Belt-Minder.,"1068, 1146","1068, 1146",2 automaker said major insurance companies are considering discounts for those,2 automaker said major insurance companies are considering discounts for those,0,0.72463405
D0608H,APW19990104.0114,1068,2 automaker said major insurance companies are considering discounts for those who own or lease vehicles equipped with the Belt-Minder.,APW19990104.0114,1068,2 automaker said major insurance companies are considering discounts for those who own or lease vehicles equipped with the Belt-Minder.,"1141, 1146;1151, 1154;1158, 1203","1141, 1146;1151, 1154;1158, 1203",those...own...lease vehicles equipped with the Belt-Minder.,those...own...lease vehicles equipped with the Belt-Minder.,0,0.6825305
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.","19, 104","19, 104",The government should set up a nationwide network of fitting stations for child seats,The government should set up a nationwide network of fitting stations for child seats,0,0.7189461
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990407.0101,2033,"In a speech in January, Hall announced the safety board was recommending a nationwide network of fitting stations to check that child seats are properly installed to protect children in auto crashes.","2130, 2172","19, 104",fitting stations to check that child seats,The government should set up a nationwide network of fitting stations for child seats,0,0.56621283
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990408.0121,2278,"In a speech in January, Hall announced the safety board was recommending a nationwide network of fitting stations to check that child seats are properly installed to protect children in auto crashes.","2375, 2417","19, 104",fitting stations to check that child seats,The government should set up a nationwide network of fitting stations for child seats,0,0.56621283
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990603.0019,362,DaimlerChrysler is the first automaker to accept a federal agency's challenge by creating a permanent free service using trained personnel to help customers fit child seats.,"440, 535","19, 104",by creating a permanent free service using trained personnel to help customers fit child seats.,The government should set up a nationwide network of fitting stations for child seats,0,0.5811345
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990603.0019,1814,The company's move follows a recommendation by the National Transportation Safety Board in January that a nationwide network of ``fitting stations'' for child seats be established to prevent the deaths of children in automobile accidents.,"1913, 2052","19, 104",that a nationwide network of ``fitting stations'' for child seats be established to prevent the deaths of children in automobile accidents.,The government should set up a nationwide network of fitting stations for child seats,0,0.7143876
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990603.0163,167,DaimlerChrysler is the first automaker to accept a federal agency's challenge by creating a permanent free service using trained personnel to help customers fit child seats.,"245, 340","19, 104",by creating a permanent free service using trained personnel to help customers fit child seats.,The government should set up a nationwide network of fitting stations for child seats,0,0.5811345
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990603.0163,1265,The company's move follows a recommendation by the National Transportation Safety Board in January that a nationwide network of ``fitting stations'' for child seats be established to prevent the deaths of children in automobile accidents.,"1364, 1503","19, 104",that a nationwide network of ``fitting stations'' for child seats be established to prevent the deaths of children in automobile accidents.,The government should set up a nationwide network of fitting stations for child seats,0,0.7143876
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990831.0237,2153,"``They need to take the lead by coordinating the establishment of permanent fitting stations'' -- perhaps at repair shops, firehouses, health centers or places where cars are annually inspected for safety, he said.","2155, 2312","19, 104","They need to take the lead by coordinating the establishment of permanent fitting stations'' -- perhaps at repair shops, firehouses, health centers or places",The government should set up a nationwide network of fitting stations for child seats,0,0.51208967
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW20000209.0099,2701,"Another safety agency, the National Transportation Safety Board, called attention to the problem of wrongly installed seats, urging creation of a network of permanent ""fitting stations"" for child seats that the government, automakers and private safety agencies would operate jointly.","2701, 2722;2826, 2902","19, 104","Another safety agency...urging creation of a network of permanent ""fitting stations"" for child seats",The government should set up a nationwide network of fitting stations for child seats,0,0.64045024
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.","93, 98;105, 149","93, 98;105, 149",child...to help save children's lives in car crashes,child...to help save children's lives in car crashes,0,0.68281347
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.","151, 214","151, 214",the National Transportation Safety Board recommended Wednesday.,the National Transportation Safety Board recommended Wednesday.,0,0.7269
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990603.0019,1814,The company's move follows a recommendation by the National Transportation Safety Board in January that a nationwide network of ``fitting stations'' for child seats be established to prevent the deaths of children in automobile accidents.,"1814, 1912","151, 214",The company's move follows a recommendation by the National Transportation Safety Board in January,the National Transportation Safety Board recommended Wednesday.,0,0.6058099
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",APW19990603.0163,1265,The company's move follows a recommendation by the National Transportation Safety Board in January that a nationwide network of ``fitting stations'' for child seats be established to prevent the deaths of children in automobile accidents.,"1265, 1363","151, 214",The company's move follows a recommendation by the National Transportation Safety Board in January,the National Transportation Safety Board recommended Wednesday.,0,0.6058099
D0608H,APW19990113.0033,0,"WASHINGTON (AP) -- The government should set up a nationwide network of fitting stations for child seats to help save children's lives in car crashes, the National Transportation Safety Board recommended Wednesday.",NYT20000522.0099,4026,"The impetus to record this information to aid crash investigators came from the National Transportation Safety Board, which recommended in 1997 that automakers develop onboard collision-sensing and -recording devices.","4026, 4142","151, 214",The impetus to record this information to aid crash investigators came from the National Transportation Safety Board,the National Transportation Safety Board recommended Wednesday.,0,0.5535354
D0608H,APW19990113.0033,215,"``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall, the chairman of the safety agency.",APW19990113.0033,215,"``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall, the chairman of the safety agency.","215, 378","215, 378","``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall","``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall",0,0.7236488
D0608H,APW19990113.0033,215,"``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall, the chairman of the safety agency.",APW19990603.0019,2053,"Each year, frustrated parents struggle to install about 70 models of child car seats in hundreds of types of cars with different shapes of back seats, meaning there are ``potentially 100,000 different ways to confuse the average consumer,'' NTSB Chairman Jim Hall says.","2294, 2322","215, 378",NTSB Chairman Jim Hall says.,"``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall",0,0.5634049
D0608H,APW19990113.0033,215,"``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall, the chairman of the safety agency.",APW19990603.0163,1504,"Each year, frustrated parents struggle to install about 70 models of child car seats in hundreds of types of cars with different shapes of back seats, meaning there are ``potentially 100,000 different ways to confuse the average consumer,'' NTSB Chairman Jim Hall says.","1745, 1773","215, 378",NTSB Chairman Jim Hall says.,"``The NTSB believes that the federal and state governments should be more directly involved in assuring that child safety seats are used correctly,'' said Jim Hall",0,0.5634049
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.","415, 521","415, 521",Most parents do not know a child seat is improperly installed until after their child is killed or injured,Most parents do not know a child seat is improperly installed until after their child is killed or injured,0,0.72572094
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.","489, 500;514, 532","415, 521",their child...injured in a crash,Most parents do not know a child seat is improperly installed until after their child is killed or injured,0,0.50906426
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW20000209.0099,3174,"Properly used child seats cut the risk of fatal injuries in half, government officials say, but inspections indicate many parents do not know they are using the seats incorrectly.","3270, 3353","415, 521",inspections indicate many parents do not know they are using the seats incorrectly.,Most parents do not know a child seat is improperly installed until after their child is killed or injured,0,0.5258172
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.","489, 500;514, 532","489, 500;514, 532",their child...injured in a crash,their child...injured in a crash,0,0.726165
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.","534, 544","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,807,"Frustrated parents struggle to properly install about 70 models of child car seats in hundreds of different types of cars each year, meaning there are ``potentially 100,000 different ways to confuse the average consumer,'' Hall said.","1030, 1040","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,1135,"The fitting stations could be established across the United States at vehicle inspection sites, motor vehicle administration offices, fire stations or automobile dealerships, Hall said.","1310, 1320","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,1855,"``Isn't it unbelievable that regulations require everything to be secured on (airplane) takeoffs and landings -- everything except our smallest children,'' Hall said.","2011, 2021","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990113.0033,3020,"The average car is about 9 years old, however, underscoring the need for child seat fitting stations for the millions of vehicles already on the road, Hall said.","3171, 3181","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990407.0101,681,"``It's time to put children and their safety first in vehicle design,'' Hall said.","753, 763","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990603.0019,2053,"Each year, frustrated parents struggle to install about 70 models of child car seats in hundreds of types of cars with different shapes of back seats, meaning there are ``potentially 100,000 different ways to confuse the average consumer,'' NTSB Chairman Jim Hall says.","2294, 2322","534, 544",NTSB Chairman Jim Hall says.,Hall said.,0,0.5285862
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW19990603.0163,1504,"Each year, frustrated parents struggle to install about 70 models of child car seats in hundreds of types of cars with different shapes of back seats, meaning there are ``potentially 100,000 different ways to confuse the average consumer,'' NTSB Chairman Jim Hall says.","1745, 1773","534, 544",NTSB Chairman Jim Hall says.,Hall said.,0,0.5285862
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW20000314.0031,2229,"''This is a viable first step taken by two of our major auto manufacturers to change the safety culture on our highways and to put the focus on our kids,'' Hall said.","2385, 2395","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW20000314.0031,2600,"Toyota and Volkswagen have said they will encourage dealers to set up fitting stations, but they haven't committed any money to the effort, Hall said.","2740, 2750","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,415,"Most parents do not know a child seat is improperly installed until after their child is killed or injured in a crash, Hall said.",APW20000314.0031,2958,"''However, not one state currently has a comprehensive child passenger protection law with all of these requirements,'' Hall said.","3078, 3088","534, 544",Hall said.,Hall said.,0,0.6742234
D0608H,APW19990113.0033,545,"Another safety agency, the National Highway Traffic Safety Administration, says more than 80 percent of child car seats are used improperly.",APW19990113.0033,545,"Another safety agency, the National Highway Traffic Safety Administration, says more than 80 percent of child car seats are used improperly.","545, 566;620, 685","545, 566;620, 685",Another safety agency...says more than 80 percent of child car seats are used improperly.,Another safety agency...says more than 80 percent of child car seats are used improperly.,0,0.74187124
