R1
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.02277,,79,0.02277,,79,0.02277,,79,0.02277
,,113,0.03267,,117,0.0495,,126,0.0495,,137,0.0396
,,173,0.04752,,150,0.06238,,146,0.05644,,175,0.06634
,,231,0.06436,,190,0.07129,,185,0.05842,,203,0.07525
,,254,0.07327,,240,0.10198,,226,0.0703,,250,0.1099
,,292,0.09109,,298,0.11584,,287,0.09109,,273,0.11584
,,345,0.11089,,318,0.11782,,334,0.09208,,314,0.12376
,,404,0.12178,,367,0.13267,,366,0.09307,,367,0.13069
,,453,0.12871,,420,0.13861,,401,0.10891,,396,0.13663
,,490,0.13168,,472,0.15248,,437,0.1198,,454,0.15248
,,,,,490,0.15635391304347826,,472,0.13564,,490,0.15627148936170213
,,,,,,,,490,0.1397523076923077,,,
,D0620
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,97,0.02703,,97,0.02703,,97,0.02703,,97,0.02703
,,122,0.03103,,122,0.03103,,151,0.03704,,139,0.03103
,,179,0.04304,,176,0.04104,,184,0.04304,,169,0.03103
,,231,0.04905,,233,0.05105,,230,0.04304,,212,0.04104
,,261,0.05305,,281,0.05706,,271,0.04705,,262,0.05606
,,310,0.06306,,315,0.05906,,318,0.06607,,287,0.06006
,,368,0.08008,,359,0.06206,,372,0.07007,,316,0.06406
,,412,0.08809,,388,0.07007,,420,0.07508,,370,0.07207
,,452,0.08909,,422,0.07407,,475,0.08108,,406,0.07407
,,484,0.09009,,473,0.08008,,484,0.08254720930232558,,448,0.08008
,,,,,484,0.08142918367346938,,,,,477,0.08008
,,,,,,,,,,,484,0.0812486111111111
,D0624
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,78,0.0422,,78,0.0422,,78,0.0422,,78,0.0422
,,125,0.06084,,100,0.05005,,133,0.07066,,134,0.06084
,,179,0.08734,,147,0.06575,,189,0.08342,,166,0.06673
,,225,0.10108,,189,0.07066,,220,0.09912,,188,0.07066
,,258,0.11286,,225,0.07851,,262,0.10108,,221,0.08243
,,288,0.11384,,274,0.08734,,284,0.105,,272,0.09127
,,347,0.13052,,327,0.10893,,339,0.13935,,320,0.1001
,,382,0.1472,,377,0.11874,,401,0.15211,,369,0.10893
,,426,0.16192,,423,0.12758,,426,0.1528305882352941,,403,0.11286
,,,,,426,0.1277529411764706,,,,,426,0.11629500000000001
,D0627
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,86,0.01304,,86,0.01304,,86,0.01304
,,109,0.01505,,122,0.01605,,127,0.02207
,,136,0.01906,,168,0.04514,,170,0.02508
,,161,0.02407,,205,0.06118,,222,0.03912
,,204,0.04614,,238,0.07021,,245,0.04112
,,240,0.05316,,279,0.07623,,291,0.04313
,,296,0.06219,,328,0.08325,,343,0.05316
,,350,0.07422,,397,0.10331,,370,0.05817
,,385,0.08124,,433,0.10732,,405,0.0652
,,439,0.08626,,480,0.11635,,459,0.06921
,,480,0.08927,,526,0.1199509375,,484,0.07422
,,526,0.09370192307692309,,,,,526,0.07523
,D0628
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,77,0.03181,,77,0.03181,,77,0.03181
,,110,0.03777,,110,0.03777,,110,0.03777
,,153,0.04374,,160,0.04374,,154,0.05865
,,189,0.05169,,201,0.0507,,192,0.06262
,,241,0.05765,,258,0.06362,,237,0.06859
,,284,0.07356,,300,0.07654,,280,0.07256
,,337,0.07654,,352,0.08151,,313,0.0825
,,387,0.08648,,412,0.08847,,364,0.10139
,,436,0.09145,,445,0.09642,,412,0.10636
,,459,0.09145,,469,0.1004,,436,0.10835
,,505,0.1004,,508,0.10239,,488,0.11431
,,555,0.10736,,562,0.11034,,521,0.11928
,,591,0.11377538461538461,,591,0.1150655737704918,,551,0.12823
,,,,,,,,591,0.1332
,D0629
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.0098,,82,0.0098,,82,0.0098
,,122,0.03529,,102,0.01569,,127,0.01471
,,152,0.03529,,157,0.02745,,174,0.01765
,,176,0.03922,,194,0.03039,,221,0.01961
,,203,0.04412,,226,0.03824,,248,0.02451
,,225,0.04902,,281,0.0598,,273,0.02549
,,245,0.05294,,330,0.07157,,292,0.02941
,,276,0.05392,,368,0.07777666666666666,,321,0.0549
,,301,0.05784,,,,,368,0.06275
,,329,0.06373,,,,,,
,,368,0.06373,,,,,,
,D0630
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,88,0.04039,,88,0.04039,,88,0.04039,,88,0.04039
,,134,0.05025,,135,0.04729,,138,0.05123,,146,0.0601
,,179,0.06404,,179,0.0532,,182,0.06897,,205,0.06305
,,248,0.07094,,228,0.05714,,230,0.07389,,247,0.06798
,,291,0.07488,,274,0.06305,,280,0.07783,,291,0.08473
,,327,0.08276,,342,0.07488,,326,0.07783,,340,0.09064
,,370,0.0936,,386,0.09064,,375,0.07882,,388,0.09458
,,420,0.10246,,432,0.09754,,421,0.08571,,414,0.09458
,,470,0.10246,,478,0.10443,,482,0.09852,,456,0.09951
,,524,0.10542,,523,0.10936,,524,0.10345,,502,0.1064
,,,,,524,0.10948847826086956,,,,,524,0.10728448979591836
,D0631
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,76,0.0446,,76,0.0446,,76,0.0446,,76,0.0446
,,110,0.05946,,114,0.06343,,107,0.04856,,124,0.06145
,,158,0.07037,,150,0.06938,,141,0.06343,,161,0.06343
,,188,0.0892,,182,0.07631,,185,0.06541,,195,0.07334
,,254,0.11397,,236,0.08722,,241,0.06938,,242,0.09613
,,291,0.12884,,276,0.09911,,293,0.08523,,283,0.10307
,,333,0.13677,,329,0.13479,,333,0.08685448979591837,,323,0.11199
,,,,,333,0.1353016129032258,,,,,333,0.11574135135135136
,D0640
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,78,0.04866,,78,0.04866,,78,0.04866
,,106,0.05362,,103,0.06852,,101,0.0566
,,150,0.06455,,142,0.07349,,124,0.06356
,,209,0.07349,,167,0.07646,,143,0.07249
,,232,0.08143,,209,0.08838,,178,0.07746
,,271,0.09235,,249,0.09533,,203,0.08441
,,296,0.10626,,290,0.09831,,228,0.08739
,,324,0.10924,,339,0.11519,,272,0.09434
,,364,0.11519,,383,0.12314,,302,0.09633
,,409,0.1291,,427,0.13704,,338,0.10526
,,437,0.13005586206896552,,437,0.1391986956521739,,366,0.10725
,,,,,,,,405,0.11519
,,,,,,,,437,0.14002
,D0643
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,83,0.05621,,83,0.05621,,83,0.05621
,,139,0.09566,,104,0.06706,,104,0.06706
,,171,0.11045,,150,0.0927,,156,0.10158
,,234,0.13609,,208,0.10454,,196,0.10552
,,255,0.143,,252,0.1144,,239,0.11045
,,290,0.16075,,299,0.13314,,278,0.12426
,,333,0.16568,,333,0.1365748717948718,,322,0.13708
,,,,,,,,333,0.14444214285714285
,D0645
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,80,0.01947,,80,0.01947,,80,0.01947
,,125,0.04771,,125,0.04771,,130,0.03019
,,163,0.06037,,168,0.05355,,190,0.04771
,,194,0.06134,,215,0.07205,,223,0.0555
,,228,0.08277,,274,0.09153,,252,0.05745
,,273,0.09445,,323,0.09932,,291,0.07108
,,310,0.10516,,385,0.10613,,338,0.08374
,,353,0.111,,425,0.11003,,362,0.08666
,,398,0.11879,,440,0.11158425531914894,,396,0.09348
,,440,0.11977,,,,,416,0.09348
,,,,,,,,440,0.09701454545454545
,D0647
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.03865,,82,0.03865,,82,0.03865
,,99,0.04638,,121,0.04348,,113,0.05121
,,124,0.06184,,150,0.05217,,136,0.07729
,,152,0.0744,,179,0.0686,,161,0.08792
,,209,0.07826,,228,0.09082,,193,0.10338
,,262,0.09469,,268,0.11498,,218,0.11691
,,312,0.11111,,313,0.12367,,273,0.1285
,,345,0.11498,,341,0.12947,,324,0.143
,,382,0.12657,,372,0.14203,,353,0.14976
,,433,0.143,,431,0.17005,,386,0.16425
,,,,,433,0.17025,,427,0.17198
,,,,,,,,433,0.175922
,D0650
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,91,0.04491,,91,0.04491,,91,0.04491,,91,0.04491
,,113,0.04591,,113,0.04591,,118,0.04591,,122,0.04691
,,162,0.05289,,152,0.05389,,153,0.04691,,166,0.05689
,,196,0.06687,,182,0.05489,,183,0.0479,,233,0.06287
,,233,0.08283,,233,0.05988,,221,0.05689,,267,0.07784
,,292,0.08683,,264,0.06387,,280,0.05888,,304,0.09481
,,328,0.09182,,311,0.06687,,318,0.06188,,343,0.0978
,,372,0.0988,,378,0.07984,,343,0.06786,,391,0.10878
,,414,0.12076,,436,0.08184,,398,0.07485,,421,0.10878
,,445,0.12575,,447,0.08445380952380951,,432,0.08982,,447,0.11277
,,447,0.1259601754385965,,,,,447,0.09669972972972973,,,
RL
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,86,0.13052,,86,0.13052,,86,0.13052,,86,0.13052
,,156,0.21285,,114,0.15562,,128,0.18675,,126,0.18072
,,196,0.23795,,156,0.20884,,180,0.22691,,152,0.21084
,,256,0.28414,,182,0.23896,,219,0.26004,,180,0.2249
,,287,0.2992,,218,0.27912,,246,0.28112,,216,0.26004
,,328,0.3243,,259,0.33434,,269,0.29819,,256,0.2751
,,367,0.33233,,295,0.34538,,321,0.34639,,284,0.31225
,,414,0.34237,,344,0.36546,,361,0.38253,,326,0.34137
,,478,0.38454,,377,0.39357,,412,0.41265,,358,0.35542
,,,,,407,0.40361,,462,0.42771,,390,0.38353
,,,,,461,0.42871,,478,0.42868454545454543,,440,0.39357
,,,,,478,0.43370634146341464,,,,,478,0.398662
,D0603
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,81,0.11874,,81,0.11874,,81,0.11874,,81,0.11874
,,130,0.20216,,130,0.20216,,137,0.2002,,130,0.18155
,,181,0.27085,,187,0.26398,,180,0.26202,,161,0.22375
,,236,0.30913,,234,0.30128,,233,0.32679,,214,0.28459
,,285,0.34838,,279,0.34151,,291,0.36997,,257,0.31501
,,336,0.3788,,333,0.36801,,336,0.3944040425531915,,305,0.33857
,,,,,336,0.3696588,,,,,336,0.3629084444444444
,D0605
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,92,0.11942,,92,0.11942,,92,0.11942,,92,0.11942
,,123,0.14757,,123,0.14757,,145,0.18058,,123,0.14757
,,170,0.20777,,170,0.20777,,179,0.22427,,185,0.19903
,,198,0.23592,,198,0.23592,,216,0.26117,,232,0.25437
,,236,0.26408,,215,0.24272,,233,0.26893,,285,0.30583
,,265,0.28058,,256,0.27767,,272,0.29903,,315,0.31942
,,303,0.29903,,289,0.29223,,320,0.32524,,332,0.32913
,,342,0.30971,,325,0.32039,,348,0.33398,,360,0.33592
,,373,0.32621,,378,0.35049,,372,0.34466,,401,0.36602
,,433,0.36408,,406,0.36311,,418,0.36019,,449,0.38252
,,457,0.36505,,436,0.37476,,457,0.37154875,,457,0.3847931707317073
,,,,,457,0.38719097560975607,,,,,,
,D0608
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,91,0.12475,,91,0.12475,,91,0.12475,,91,0.12475
,,135,0.1831,,129,0.16499,,116,0.1499,,121,0.14889
,,174,0.21429,,170,0.2163,,144,0.17505,,162,0.17606
,,232,0.25855,,204,0.2495,,192,0.21227,,200,0.21529
,,281,0.28873,,250,0.2837,,245,0.24346,,241,0.25553
,,320,0.31489,,283,0.31087,,291,0.2666,,275,0.2837
,,366,0.33099,,331,0.34004,,328,0.28773,,335,0.32897
,,399,0.3501,,388,0.35412,,387,0.31388,,376,0.34708
,,454,0.37123,,436,0.36922,,428,0.36117,,424,0.36016
,,505,0.38732,,496,0.40241,,462,0.38531,,474,0.37928
,,,,,505,0.40716425,,505,0.4045371428571429,,505,0.3896736111111111
,D0614
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.14726,,89,0.14726,,89,0.14726,,89,0.14726
,,140,0.21592,,124,0.199,,123,0.19602,,118,0.18905
,,203,0.27463,,163,0.26667,,171,0.23383,,173,0.25373
,,228,0.30547,,198,0.29652,,217,0.2796,,219,0.30746
,,277,0.34726,,258,0.34129,,253,0.32736,,260,0.34826
,,324,0.37313,,280,0.36915,,303,0.36119,,295,0.3592
,,357,0.39602,,307,0.38109,,332,0.37512,,330,0.37512
,,409,0.4209,,348,0.40697,,384,0.39701,,369,0.399
,,,,,387,0.4199,,409,0.4154451851851852,,409,0.418
,,,,,409,0.42625870967741936,,,,,,
,D0615
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.11976,,79,0.11976,,79,0.11976,,79,0.11976
,,108,0.15968,,108,0.1487,,127,0.16866,,108,0.1487
,,158,0.21956,,166,0.21557,,165,0.20858,,166,0.21557
,,214,0.25349,,208,0.26148,,197,0.21956,,217,0.27146
,,251,0.27246,,244,0.28144,,255,0.27844,,253,0.29242
,,293,0.3004,,280,0.29441,,307,0.2994,,289,0.30639
,,317,0.31238,,318,0.32136,,345,0.32236,,334,0.31737
,,356,0.33433,,364,0.34232,,366,0.33333,,368,0.33234
,,392,0.35529,,393,0.34731,,410,0.37525,,397,0.34132
,,431,0.36727,,431,0.36291980392156864,,431,0.38204945945945945,,431,0.366318947368421
,D0616
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.14648,,89,0.14648,,89,0.14648,,89,0.14648
,,136,0.2041,,115,0.18652,,129,0.20117,,112,0.18457
,,188,0.26758,,167,0.25684,,155,0.22754,,148,0.22754
,,221,0.28809,,198,0.29102,,191,0.26953,,184,0.27051
,,284,0.33105,,247,0.33789,,241,0.31738,,233,0.31738
,,333,0.36426,,290,0.35742,,285,0.35059,,266,0.33203
,,356,0.37988,,340,0.39062,,344,0.3877,,321,0.3623
,,407,0.4248,,376,0.42188,,375,0.41309,,354,0.38574
,,454,0.44922,,431,0.44531,,429,0.43359,,407,0.40625
,,,,,454,0.45420333333333335,,454,0.449870303030303,,450,0.41504
,,,,,,,,,,,454,0.4167142857142857
,D0617
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.1213,,79,0.1213,,79,0.1213,,79,0.1213
,,113,0.15976,,117,0.1716,,126,0.19625,,137,0.19329
,,173,0.23077,,150,0.20809,,146,0.21302,,175,0.24458
,,231,0.27515,,190,0.2574,,185,0.24951,,203,0.2643
,,254,0.29093,,240,0.28501,,226,0.28205,,250,0.31657
,,292,0.31164,,298,0.30769,,287,0.30671,,273,0.33037
,,345,0.3432,,318,0.31854,,334,0.31657,,314,0.35207
,,404,0.37673,,367,0.33432,,366,0.33136,,367,0.37179
,,453,0.39941,,420,0.35207,,401,0.35404,,396,0.38363
,,490,0.40828,,472,0.36982,,437,0.36982,,454,0.40138
,,,,,490,0.38062782608695656,,472,0.3925,,490,0.4089323404255319
,,,,,,,,490,0.39933307692307696,,,
,D0620
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,97,0.15155,,97,0.15155,,97,0.15155,,97,0.15155
,,122,0.18046,,122,0.18046,,151,0.21037,,139,0.19342
,,179,0.22931,,176,0.22832,,184,0.2323,,169,0.20339
,,231,0.25823,,233,0.26221,,230,0.24526,,212,0.24427
,,261,0.27218,,281,0.27916,,271,0.26022,,262,0.27717
,,310,0.29811,,315,0.29711,,318,0.29611,,287,0.28913
,,368,0.32901,,359,0.31206,,372,0.32004,,316,0.29611
,,412,0.34397,,388,0.32403,,420,0.334,,370,0.31805
,,452,0.35992,,422,0.33699,,475,0.35892,,406,0.32303
,,484,0.3669,,473,0.36191,,484,0.36518023255813953,,448,0.33101
,,,,,484,0.3652683673469388,,,,,477,0.334
,,,,,,,,,,,484,0.33962138888888893
,D0624
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,78,0.13587,,78,0.13587,,78,0.13587,,78,0.13587
,,125,0.1955,,100,0.16813,,133,0.23265,,134,0.22092
,,179,0.26295,,147,0.22092,,189,0.29326,,166,0.25806
,,225,0.31867,,189,0.26979,,220,0.31965,,188,0.28446
,,258,0.348,,225,0.30303,,262,0.33822,,221,0.30987
,,288,0.35973,,274,0.34311,,284,0.34897,,272,0.35288
,,347,0.40567,,327,0.39296,,339,0.40078,,320,0.37634
,,382,0.43011,,377,0.41349,,401,0.45161,,369,0.4174
,,426,0.45748,,423,0.43988,,426,0.45952176470588235,,403,0.43304
,,,,,426,0.4404844117647059,,,,,426,0.44037
,D0627
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,86,0.12288,,86,0.12288,,86,0.12288
,,109,0.14286,,122,0.16783,,127,0.17183
,,136,0.17083,,168,0.23477,,170,0.22977
,,161,0.18881,,205,0.27972,,222,0.27872
,,204,0.24875,,238,0.31269,,245,0.29471
,,240,0.27672,,279,0.33367,,291,0.32368
,,296,0.32268,,328,0.36763,,343,0.36164
,,350,0.37762,,397,0.41059,,370,0.37662
,,385,0.4006,,433,0.42857,,405,0.3966
,,439,0.42258,,480,0.45355,,459,0.41459
,,480,0.42857,,526,0.4614490625,,484,0.41658
,,526,0.44006115384615385,,,,,526,0.42058
,D0628
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,77,0.13267,,77,0.13267,,77,0.13267
,,110,0.18317,,110,0.18317,,110,0.18416
,,153,0.22475,,160,0.22871,,154,0.24653
,,189,0.25347,,201,0.26337,,192,0.2802
,,241,0.3099,,258,0.3099,,237,0.31386
,,284,0.35347,,300,0.35644,,280,0.33861
,,337,0.37525,,352,0.38218,,313,0.3495
,,387,0.4,,412,0.40594,,364,0.39109
,,436,0.41584,,445,0.41584,,412,0.41089
,,459,0.4198,,469,0.43069,,436,0.42574
,,505,0.4297,,508,0.44455,,488,0.45446
,,555,0.44851,,562,0.46436,,521,0.46238
,,591,0.45674384615384617,,591,0.47236114754098363,,551,0.47624
,,,,,,,,591,0.48812
,D0629
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.10547,,82,0.10547,,82,0.10547
,,122,0.16211,,102,0.13281,,127,0.14551
,,152,0.18066,,157,0.20508,,174,0.20508
,,176,0.20312,,194,0.23535,,221,0.22461
,,203,0.23633,,226,0.25977,,248,0.25195
,,225,0.25293,,281,0.29395,,273,0.26465
,,245,0.2666,,330,0.32715,,292,0.28125
,,276,0.28125,,368,0.34776851851851853,,321,0.32129
,,301,0.30273,,,,,368,0.34863
,,329,0.31738,,,,,,
,,368,0.33887,,,,,,
,D0630
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,88,0.11973,,88,0.11973,,88,0.11973,,88,0.11973
,,134,0.18155,,135,0.16977,,138,0.17763,,146,0.20216
,,179,0.22277,,179,0.20707,,182,0.24043,,205,0.24632
,,248,0.26987,,228,0.24338,,230,0.26693,,247,0.2787
,,291,0.29342,,274,0.27282,,280,0.28852,,291,0.31305
,,327,0.31403,,342,0.31796,,326,0.31109,,340,0.33857
,,370,0.32974,,386,0.34544,,375,0.32974,,388,0.35329
,,420,0.35132,,432,0.36114,,421,0.34838,,414,0.36114
,,470,0.37193,,478,0.37586,,482,0.36506,,456,0.37978
,,524,0.39352,,523,0.39058,,524,0.3788,,502,0.39156
,,,,,524,0.3908145652173913,,,,,524,0.39684897959183674
,D0631
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,76,0.13722,,76,0.13722,,76,0.13722,,76,0.13722
,,110,0.18164,,114,0.19052,,107,0.17473,,124,0.19151
,,158,0.23396,,150,0.23593,,141,0.22211,,161,0.2231
,,188,0.28036,,182,0.26752,,185,0.2695,,195,0.25666
,,254,0.34847,,236,0.31293,,241,0.29714,,242,0.30997
,,291,0.37512,,276,0.34353,,293,0.35242,,283,0.34057
,,333,0.385,,329,0.38302,,333,0.3725669387755102,,323,0.37019
,,,,,333,0.38486709677419356,,,,,333,0.3757927027027027
,D0640
